name	element	base_type	base_c	re_atom_energy	binding_energy	base_energy	o	h	c	n	f	s	co2	cho	co	cooh	n2	n2h	no	noh	oh	h2o
5-pr	pr	7	-600.32923	-2.79068	-8.27108	-611.39099	-619.75855	-614.9817795	-618.17086	-619.6200299	-615.9527213	-616.8547958	-633.1258925	-628.8604558	-626.7262153	-637.6923087	-628.3395887	-629.2311897	-626.3758616	-629.17281	-622.1847964	-626.3500502
5-nd	nd	7	-600.32923	-4.42155	-8.08989	-612.84067	-621.13347	-616.3377876	-619.6368788	-621.2945	-617.3856913	-618.2448638	-634.4351459	-630.3042744	-628.0158255	-639.0908285	-629.7711715	-630.409148	-627.7424861	-630.7887637	-623.66848	-627.7620029
5-sm	sm	7	-600.32923	-8.6783	-7.55757	-616.5651	-624.88094	-619.8504909	-623.0222648	-625.5645672	-621.45488	-621.8870304	-637.8956659	-634.0948224	-631.4221002	-642.7587205	-633.5494989	-633.4887917	-631.3595037	-634.5147291	-627.2129974	-631.4788464
5-eu	eu	7	-600.32923	-8.39244	-1.16217	-609.88384	-618.20788	-613.5571678	-615.9377581	-617.4221952	-615.9643391	-615.2118874	-631.1915443	-628.1576002	-624.859248	-636.2040141	-625.1298119	-623.4293428	-628.0290506	-628.8751541	-622.9441967	-626.876212
5-gd	gd	7	-600.32923	-10.37866	-8.78577	-619.49366	-628.02624	-622.6807033	-625.9804713	-629.1585881	-623.8383588	-624.8935	-640.8269444	-636.953752	-634.2967938	-645.7101471	-637.000918	-637.0186964	-633.5715414	-637.3035581	-629.6461716	-634.25024
5-tb	tb	7	-600.32923	-8.57675	-8.1831	-617.08908	-625.83331	-620.4923766	-623.7376572	-626.4414456	-621.6824283	-622.5574501	-638.6328235	-634.6927601	-632.1390689	-643.4218855	-634.4684328	-634.5434907	-631.7221504	-635.1301424	-627.6631395	-631.9462995
5-dy	dy	7	-600.32923	-7.25458	-7.74407	-615.32788	-623.58343	-618.6670734	-622.49013	-624.1049579	-619.8827431	-620.6596477	-636.7219392	-632.52342	-630.2673589	-641.5219614	-632.2682927	-632.448578	-630.1348895	-633.2522981	-625.9798141	-630.2241477
5-ho	ho	7	-600.32923	-6.05906	-7.47479	-613.86308	-622.41377	-617.4263539	-620.5841602	-622.66289	-618.6055569	-619.3191867	-635.4707586	-631.4847378	-629.71808	-640.1857314	-630.8370744	-631.0746071	-629.0263124	-631.9884564	-624.8012125	-628.9957461
5-er	er	7	-600.32923	-5.17143	-6.87736	-612.37802	-620.06195	-615.6459376	-618.8363201	-620.3166261	-616.5494	-617.5611715	-633.6286755	-629.7734988	-627.2357057	-638.5906	-628.6860511	-628.9670526	-627.6213455	-630.2348887	-623.2889654	-627.4574672
5-tm	tm	7	-600.32923	-4.35124	-6.79162	-611.47209	-620.00659	-615.1330267	-618.2670358	-619.7162649	-616.4020549	-616.9584911	-633.1760686	-629.168749	-626.7809413	-637.8316523	-628.02267	-628.4615685	-627.1416471	-629.7384286	-622.7740982	-626.8948352
5-yb	yb	7	-600.32923	-0.03756	-6.46181	-606.8286	-615.27537	-610.7861924	-613.8877289	-614.2515052	-611.8926494	-612.3763548	-628.7635048	-624.5369776	-622.4432292	-633.2391945	-623.2102199	-625.00707	-623.0352875	-625.2050408	-618.5112612	-622.5183178
5-lu	lu	7	-600.32923	-0.18616	-8.7551	-609.27049	-618.28854	-613.4406399	-616.6615049	-617.5339137	-613.995394	-615.0081478	-632.24789	-626.9082042	-625.0990278	-635.8346464	-626.5859665	-627.8822011	-625.00499	-627.5271704	-620.2903035	-624.4015946
